Zip,Month,Sum_Sale,Retail,Diff_Price,Sold,Volume
50021,7,25283.07,14.0720915,4.696013072,11.83006536,939.379085
50021,8,30232.91,16.97545455,5.670545455,10.18787879,972.4242424
50021,9,30751.49,16.67296875,5.5621875,9.697916667,968.0989583
50021,10,58587.94,16.87640719,5.648802395,20.96407186,998.3532934
50021,11,41297.61,16.90436242,5.638590604,15.73825503,970.9731544
50021,12,42037.23,16.49408511,5.518851064,11.17446809,971.1702128
50022,1,14447.76,14.28587719,4.76377193,9.350877193,925.4385965
50022,2,16177.67,15.46699187,5.17195122,8.536585366,944.1056911
50022,3,14344.59,14.89321918,4.974178082,7.691780822,1004.965753
50022,4,6772.02,13.81837838,4.60972973,8.013513514,1005.405405
50022,5,6055.25,12.54,4.183561644,6.698630137,996.9178082
50022,6,9750.6,17.10987805,5.728170732,8.914634146,995.7317073
50022,7,8289.81,14.87714286,4.960428571,8.657142857,1052.857143
50022,8,9160.43,14.69516854,4.906629213,7.629213483,1067.696629
50022,9,6149.76,17.17408163,5.725918367,9.285714286,1057.653061
50022,10,11358.41,17.13538462,5.741384615,10.78461538,1065
50022,11,11445.28,15.44729167,5.153854167,9.125,901.5625
50022,12,6311.97,17.2071875,5.7490625,6.25,1001.953125
50023,1,20660.09,16.28275591,5.433582677,6.358267717,883.4645669
50023,2,23266.46,17.00570447,5.676494845,5.756013746,906.9587629
50023,3,29104.2,16.37614094,5.469463087,6.563758389,898.7416107
50023,4,11214.17,15.57071895,5.199215686,5.993464052,927.124183
50023,5,11673.51,18.36688889,6.146074074,6.081481481,992.2222222
50023,6,18415.98,19.55042553,6.537712766,5.978723404,949.8670213
50023,7,14212.06,20.37358824,6.815058824,5.464705882,875
50023,8,11539.53,17.69328859,5.910805369,5.362416107,948.9932886
50023,9,23511.55,17.232,5.7455,8.022222222,871.25
50023,10,16715.99,16.23054054,5.428918919,7.236486486,935.3243243
50023,11,9784.8,15.25882353,5.087983193,6.336134454,913.0252101
50023,12,23368.68,17.33191964,5.792946429,7.308035714,914.0625
50025,1,1707.75,11.86892857,3.962142857,5.357142857,1058.035714
50025,2,3913.96,13.83793103,4.639655172,10.27586207,1155.172414
50025,3,2194.71,14.5969697,4.867272727,4.818181818,977.2727273
50025,4,448.32,10.39,3.506,5.8,925
50025,5,332.22,14.95285714,4.987142857,3.857142857,1035.714286
50025,6,1305.86,13.31529412,4.445294118,6.882352941,1007.352941
50025,7,1278.9,12.88888889,4.297777778,5.944444444,881.9444444
50025,8,811.17,11.63333333,3.9075,5.75,843.75
50025,9,659.41,12.23444444,4.078888889,6.222222222,1166.666667
50025,10,493.16,13.2625,4.470833333,3.333333333,1229.166667
50025,11,1765.44,12.49478261,4.173478261,7,951.0869565
50025,12,1723.31,15.47,5.159090909,13.54545455,927.2727273
50028,1,332.85,11.585,3.891666667,6.5,750
50028,2,605.23,10.73230769,3.597692308,4.846153846,750
50028,3,661.34,10.65916667,3.581666667,5.083333333,833.3333333
50028,4,210.95,13.296,4.53,2.6,1075
50028,5,218.04,10.456,3.486,4.2,950
50028,6,129.74,10.8475,3.6175,3.75,750
50028,7,169.36,15.44333333,5.15,3,1083.333333
50028,8,85.84,12.4175,4.14,1.75,750
50028,9,365.52,15.23,5.08,12,750
50028,10,94.2,7.85,2.62,12,750
50028,11,336.96,17.96,5.99,9,1250
50028,12,94.2,7.85,2.62,12,750
50033,1,550.81,11.22714286,3.744285714,7.428571429,800
50033,2,617.31,11.691,3.924,5,952.5
50033,3,806.73,10.37,3.459,7.6,767.5
50033,4,492.96,18.19333333,6.093333333,10,1083.333333
50033,5,103.61,11.83333333,3.946666667,3,458.3333333
50033,6,418.91,10.61,3.538571429,5.428571429,717.8571429
50033,7,185.47,8.54,2.85,7.666666667,875
50033,8,732.5,10.72125,3.575,8.5,1012.5
50033,9,245.54,12.8225,4.2775,5.5,687.5
50033,10,686.86,10.14222222,3.383333333,7,538.8888889
50033,11,286.87,10.1225,3.3775,16.25,475
50033,12,333.11,10.10333333,3.37,5.666666667,500
50035,1,920.2,10.95419355,3.652903226,2.483870968,748.3870968
50035,2,1325.51,12.13945946,4.054864865,4.486486486,712.1621622
50035,3,1052.13,12.22921053,4.078157895,2.789473684,762.5
50035,4,679.31,10.85769231,3.623846154,2.5,777.8846154
50035,5,641.56,13.4304,4.5076,2.16,886
50035,6,895.54,14.46217391,4.855217391,2.608695652,1019.565217
50035,7,608.12,12.02,4.008275862,2.103448276,752.5862069
50035,8,629.67,10.23043478,3.412173913,2.52173913,754.3478261
50035,9,960.39,13.16571429,4.397428571,2.714285714,907.1428571
50035,10,1535.54,12.24,4.081142857,3.2,707.1428571
50035,11,1088.7,16.15291667,5.38625,2.958333333,910.4166667
50035,12,1275.31,14.37675676,4.793783784,3.135135135,802.7027027
50036,1,17031.96,14.54447853,4.858773006,7.680981595,1047.699387
50036,2,29655.52,13.39480952,4.482809524,11.1952381,972.6190476
50036,3,17174.67,14.05162921,4.696797753,7.45505618,918.1179775
50036,4,10582.07,13.0019469,4.33840708,7.814159292,895.1327434
50036,5,17312.72,14.06333333,4.711724138,14.36781609,939.6551724
50036,6,14874.82,13.66886179,4.578211382,9.227642276,959.9593496
50036,7,9212.38,14.66959596,4.90040404,6.95959596,1030.555556
50036,8,10910.82,14.49216495,4.838041237,8.340206186,1021.907216
50036,9,6700.05,13.87671053,4.626710526,7.263157895,1030.921053
50036,10,11651.59,14.02698795,4.692289157,9.337349398,957.8313253
50036,11,8443.89,14.48368421,4.829342105,8.368421053,1015.131579
50036,12,16087.99,15.11775362,5.059565217,8.31884058,978.2608696
50044,1,99.12,4.13,1.38,24,200
50044,2,437.7,8.6825,2.895,13.5,968.75
50044,3,81.6,1.7,0.57,48,200
50044,5,414.24,4.835,1.615,42,562.5
50044,6,90,7.5,2.5,12,1000
50044,7,110.64,4.61,1.54,24,375
50044,9,282.24,4.603333333,1.536666667,28,525
50044,10,242.88,5.06,1.69,48,750
50044,11,137.58,11.465,3.825,6,1750
50046,1,335.24,9.65,3.21875,5.125,759.375
50046,2,455.49,10.20666667,3.432222222,4.777777778,1041.666667
50046,3,223.66,9.804285714,3.27,3.571428571,600
50046,5,259.75,13.618,4.64,3.8,890
50046,6,270.63,9.735714286,3.247142857,4.285714286,789.2857143
50046,8,89.02,44.51,14.84,2,1750
50046,9,70.71,13.70333333,4.57,1.666666667,1750
50046,10,119.25,9.125,3.0425,3.5,862.5
50046,11,31.48,15.74,5.25,2,750
50046,12,261.19,13.435,4.48,3,1020.833333
50047,1,1138.26,12.318,4.118666667,5.4,900
50047,2,6210.09,11.572,3.871,21.65,900
50047,3,2765.63,13.89290323,4.653548387,6.870967742,1111.290323
50047,4,1921.98,11.82368421,3.964736842,9.789473684,901.3157895
50047,5,875.55,11.2125,3.785,6.916666667,904.1666667
50047,6,5642.92,17.85153846,6.055384615,28.76923077,1259.615385
50047,7,89.64,7.47,2.49,12,375
50047,8,1468.53,12.36,4.121333333,9.2,1033.333333
50047,9,827.01,9.515,3.174375,6.5625,812.5
50047,10,1247.93,16.94,5.649166667,7.916666667,833.3333333
50047,11,5465.09,11.03615385,3.680769231,35.38461538,875
50047,12,1283.41,14.58666667,4.893333333,12.93333333,915
50048,1,637.82,13.348,4.452,8.8,850
50048,2,793.2,8.981666667,2.995,16,875
50048,3,781.29,12.17833333,4.061666667,12.16666667,708.3333333
50048,5,71.4,10.2,3.4,7,600
50048,6,289.42,11.15333333,3.72,8.666666667,666.6666667
50048,7,177.36,14.78,4.93,12,750
50048,8,897.36,11.956,3.986,16.8,600
50048,10,285.12,11.88,3.96,12,750
50048,11,671.76,6.648,2.218,21.6,475
50048,12,538.89,12.74,4.246666667,20.33333333,541.6666667
50049,1,5143,12.71530612,4.246122449,9.102040816,826.5306122
50049,2,8127.04,17.28446429,5.770535714,9.25,984.8214286
50049,3,6834.77,12.52883117,4.181558442,7.038961039,1007.792208
50049,4,3163.71,12.199375,4.0703125,7.5625,898.4375
50049,5,2786.32,14.15571429,4.73,6.142857143,917.8571429
50049,6,4567.2,15.96452381,5.364285714,7.5,980.952381
50049,7,3265.59,14.3230303,4.790909091,7.424242424,980.3030303
50049,8,2954.24,13.22961538,4.417307692,9.153846154,1028.846154
50049,9,3362.84,15.34378378,5.116216216,6.72972973,886.4864865
50049,10,2600.42,15.36321429,5.146071429,6.75,1042.857143
50049,11,2336.21,13.66586207,4.556896552,7.172413793,983.6206897
50049,12,3059.05,13.79382353,4.614117647,6.941176471,855.1470588
50054,1,2456.44,13.0244,4.3432,8.76,1095
50054,2,1806.42,12.1044,4.036,6.64,839
50054,3,1749.75,13.571,4.5345,6.95,1075
50054,4,1088.88,9.791538462,3.265384615,10.53846154,807.6923077
50054,5,648.62,11.61333333,3.872222222,6.444444444,1250
50054,6,1367.04,14.561,4.864,8,1212.5
50054,7,1436.29,9.023888889,3.008333333,9.222222222,840.2777778
50054,8,458.26,9.738,3.248,5.6,725
50054,9,822.93,10.54545455,3.516363636,7.727272727,997.7272727
50054,10,1194.75,10.54947368,3.517894737,6.894736842,728.9473684
50054,11,693.61,11.74333333,3.915833333,5,947.9166667
50054,12,2185.14,12.069,4.062,8.35,893.75
50056,1,882,17.7,5.9,15,1250
50056,2,197.16,11.555,3.935,9,1250
50056,3,354.24,10.84,3.615,15,1250
50056,4,237.24,14.37,4.79,9,1750
50056,6,106.2,17.7,5.9,6,1750
50056,7,594.3,11.992,4,9.6,900
50056,8,226.8,4.725,1.575,24,375
50056,9,520.56,10.17,3.3925,15,906.25
50056,10,180,15,5,12,750
50056,11,415.68,15.14666667,5.05,14,958.3333333
50056,12,83.16,13.86,4.62,6,1750
50058,1,1119.03,14.50466667,4.836666667,7.4,926.6666667
50058,2,1799.22,16.29733333,5.511333333,8.333333333,1058.333333
50058,3,2263.91,15.46809524,5.157619048,7.095238095,976.1904762
50058,4,696.07,12.51272727,4.231818182,6.727272727,988.6363636
