Zip,Store,Vendor,Month,Retail,Retail Diff,Sale,Sold,Volume
50028,2,17,1,11.585,3.89166666667,55.475,6.5,750.0
50028,2,17,2,10.7323076923,3.59769230769,46.5561538462,4.84615384615,750.0
50028,2,17,3,10.6591666667,3.58166666667,55.1116666667,5.08333333333,833.333333333
50028,2,17,4,13.296,4.53,42.19,2.6,1075.0
50028,2,17,5,10.456,3.486,43.608,4.2,950.0
50028,2,17,6,10.8475,3.6175,32.435,3.75,750.0
50028,2,17,7,15.4433333333,5.15,56.4533333333,3.0,1083.33333333
50028,2,17,8,12.4175,4.14,21.46,1.75,750.0
50028,2,17,9,15.23,5.08,182.76,12.0,750.0
50028,2,17,10,7.85,2.62,94.2,12.0,750.0
50028,2,17,11,17.96,5.99,168.48,9.0,1250.0
50028,2,17,12,7.85,2.62,94.2,12.0,750.0
50033,1,14,1,11.2271428571,3.74428571429,78.6871428571,7.42857142857,800.0
50033,1,14,2,11.691,3.924,61.731,5.0,952.5
50033,1,14,3,10.37,3.459,80.673,7.6,767.5
50033,1,14,4,18.1933333333,6.09333333333,164.32,10.0,1083.33333333
50033,1,14,5,11.8333333333,3.94666666667,34.5366666667,3.0,458.333333333
50033,1,14,6,10.61,3.53857142857,59.8442857143,5.42857142857,717.857142857
50033,1,14,7,8.54,2.85,61.8233333333,7.66666666667,875.0
50033,1,14,8,10.72125,3.575,91.5625,8.5,1012.5
50033,1,14,9,12.8225,4.2775,61.385,5.5,687.5
50033,1,14,10,10.1422222222,3.38333333333,76.3177777778,7.0,538.888888889
50033,1,14,11,10.1225,3.3775,71.7175,16.25,475.0
50033,1,14,12,10.1033333333,3.37,55.5183333333,5.66666666667,500.0
50035,1,25,1,10.9541935484,3.65290322581,29.6838709677,2.48387096774,748.387096774
50035,1,25,2,12.1394594595,4.05486486486,35.8245945946,4.48648648649,712.162162162
50035,1,25,3,12.2292105263,4.07815789474,27.6876315789,2.78947368421,762.5
50035,1,25,4,10.8576923077,3.62384615385,26.1273076923,2.5,777.884615385
50035,1,25,5,13.4304,4.5076,25.6624,2.16,886.0
50035,1,25,6,14.462173913,4.8552173913,38.9365217391,2.60869565217,1019.56521739
50035,1,25,7,12.02,4.00827586207,20.9696551724,2.10344827586,752.586206897
50035,1,25,8,10.2304347826,3.41217391304,27.3769565217,2.52173913043,754.347826087
50035,1,25,9,13.1657142857,4.39742857143,27.4397142857,2.71428571429,907.142857143
50035,1,25,10,12.24,4.08114285714,43.8725714286,3.2,707.142857143
50035,1,25,11,16.1529166667,5.38625,45.3625,2.95833333333,910.416666667
50035,1,25,12,14.3767567568,4.79378378378,34.4678378378,3.13513513514,802.702702703
50036,9,40,1,14.5444785276,4.85877300613,104.490552147,7.68098159509,1047.6993865
50036,9,40,2,13.3948095238,4.48280952381,141.216761905,11.1952380952,972.619047619
50036,9,40,3,14.0516292135,4.69679775281,96.4869101124,7.45505617978,918.117977528
50036,9,40,4,13.0019469027,4.33840707965,93.6466371681,7.81415929204,895.132743363
50036,9,40,5,14.0633333333,4.71172413793,198.996781609,14.367816092,939.655172414
50036,9,40,6,13.6688617886,4.57821138211,120.933495935,9.22764227642,959.959349593
50036,9,40,7,14.6695959596,4.9004040404,93.0543434343,6.9595959596,1030.55555556
50036,9,40,8,14.4921649485,4.83804123711,112.482680412,8.34020618557,1021.90721649
50036,9,40,9,13.8767105263,4.62671052632,88.1585526316,7.26315789474,1030.92105263
50036,9,40,10,14.0269879518,4.69228915663,140.38060241,9.33734939759,957.831325301
50036,9,40,11,14.4836842105,4.82934210526,111.103815789,8.36842105263,1015.13157895
50036,9,40,12,15.1177536232,5.05956521739,116.579637681,8.31884057971,978.260869565
50044,1,6,1,4.13,1.38,99.12,24.0,200.0
50044,1,6,2,8.6825,2.895,109.425,13.5,968.75
50044,1,6,3,1.7,0.57,81.6,48.0,200.0
50044,1,6,5,4.835,1.615,207.12,42.0,562.5
50044,1,6,6,7.5,2.5,90.0,12.0,1000.0
50044,1,6,7,4.61,1.54,110.64,24.0,375.0
50044,1,6,9,4.60333333333,1.53666666667,94.08,28.0,525.0
50044,1,6,10,5.06,1.69,242.88,48.0,750.0
50044,1,6,11,11.465,3.825,68.79,6.0,1750.0
50046,1,16,1,9.65,3.21875,41.905,5.125,759.375
50046,1,16,2,10.2066666667,3.43222222222,50.61,4.77777777778,1041.66666667
50046,1,16,3,9.80428571429,3.27,31.9514285714,3.57142857143,600.0
50046,1,16,5,13.618,4.64,51.95,3.8,890.0
50046,1,16,6,9.73571428571,3.24714285714,38.6614285714,4.28571428571,789.285714286
50046,1,16,8,44.51,14.84,89.02,2.0,1750.0
50046,1,16,9,13.7033333333,4.57,23.57,1.66666666667,1750.0
50046,1,16,10,9.125,3.0425,29.8125,3.5,862.5
50046,1,16,11,15.74,5.25,31.48,2.0,750.0
50046,1,16,12,13.435,4.48,43.5316666667,3.0,1020.83333333
50047,2,24,1,12.318,4.11866666667,75.884,5.4,900.0
50047,2,24,3,13.8929032258,4.6535483871,89.2138709677,6.87096774194,1111.29032258
50047,2,24,4,11.8236842105,3.96473684211,101.156842105,9.78947368421,901.315789474
50047,2,24,5,11.2125,3.785,72.9625,6.91666666667,904.166666667
50047,2,24,7,7.47,2.49,89.64,12.0,375.0
50047,2,24,8,12.36,4.12133333333,97.902,9.2,1033.33333333
50047,2,24,9,9.515,3.174375,51.688125,6.5625,812.5
